Year,Month,spei1,sri1,ssmi1
2005,5,-1.981693506,-2.283986415,-1.160240049
2005,6,0.563535297,-0.140043414,-0.199743427
2005,7,-0.517284276,-0.026413372,-0.697232205
2005,8,1.121575476,0.344878611,-0.09008141
2005,9,-0.098756657,-0.187685186,-0.14022853
2005,10,0.270568239,0.097252393,0.084925864
2005,11,-0.539185547,-0.007573121,-0.260809467
2005,12,1.082089267,0.280808093,-0.254030762
2006,1,-1.209545557,0.245453062,-0.220858181
2006,2,-0.58467895,-0.75661228,-0.311471442
2006,3,-1.701439511,-1.548664394,-0.624542622
2006,4,0.729186686,-0.022948378,-0.078364455
2006,5,0.617057072,0.883721768,0.373054048
2006,6,-0.524859959,-0.210894877,-0.073757511
2006,7,0.244106787,0.452583089,-0.25703038
2006,8,-0.712977658,-0.730778622,-0.566996931
2006,9,-0.831182255,-0.784148158,-0.766508878
2006,10,1.715986061,1.539944337,0.064336317
2006,11,-0.754303939,-0.457849734,-0.246925069
2006,12,0.796219056,-0.416315371,-0.282605683
2007,1,-0.216071642,0.331803641,-0.117930448
2007,2,1.534485368,1.667539816,0.282552749
2007,3,-1.663577784,-0.735134835,-0.154175627
2007,4,1.667980291,1.280925564,0.997696323
2007,5,0.78469857,1.138270535,1.017801744
2007,6,-1.777871022,-1.213323526,-0.276858972
2007,7,0.853619833,0.380679866,0.241242673
2007,8,1.659818355,1.951322196,0.743124677
2007,9,0.565158372,0.951277793,0.84386643
2007,10,-0.384290137,0.171723916,0.321710507
2007,11,-0.246927729,-0.608474946,0.039329767
2007,12,-1.599239534,-1.538827953,-0.293651017
2008,1,0.749096937,0.205643544,0.32612805
2008,2,0.456319084,0.751227064,0.365121977
2008,3,0.611877227,0.582561703,0.306943533
2008,4,-0.098407243,-0.542716154,0.101452945
2008,5,0.468357806,0.705199424,0.31663883
2008,6,0.937708995,0.360753323,0.885869956
2008,7,0.965603191,0.872885933,1.219687279
2008,8,0.396146083,0.717053852,1.221744033
2008,9,-1.478281102,-0.371722554,0.178114601
2008,10,0.309648918,-0.383954874,0.627418316
2008,11,1.966991558,2.363132682,0.842888724
2008,12,0.005584831,-0.071803911,0.705204491
2009,1,0.051603842,0.567645522,0.756307579
2009,2,-1.306246002,-0.841509558,0.500281345
2009,3,-0.154392956,-1.063276615,0.362846369
2009,4,0.221653934,0.430741235,0.194388245
2009,5,-0.319984865,-0.718834593,-0.064044595
2009,6,-0.154967476,-0.67583726,-0.070788962
2009,7,-0.306952341,-0.282988202,-0.44074471
2009,8,0.077389726,-0.370336435,-0.405605095
2009,9,-2.276333094,-1.621467519,-1.000617304
2009,10,-2.011174464,-2.300746269,-1.453758866
2009,11,-1.025312358,-1.676327431,-1.304168872
2009,12,-2.051189028,-1.886213138,-1.428087392
2010,1,-1.496184315,-1.49880652,-1.508638858
2010,2,-0.945318702,-1.374609743,-1.54153964
2010,3,-0.335252343,-0.679234982,-1.412277182
2010,4,0.97971097,0.699948248,-1.050796286
2010,5,-0.9630732,-0.582193379,-1.361337197
2010,6,-1.420630647,-1.552084103,-1.999790692
2010,7,-0.997396051,-1.322702146,-1.17592086
2010,8,-1.236929565,-0.935623661,-1.406046084
2010,9,0.594657721,-0.367331689,-1.103716876
2010,10,1.424002512,0.930997252,-0.352150189
2010,11,-0.522617823,-0.05347336,-0.599844231
2010,12,1.483002202,1.550652889,-0.604617699
2011,1,1.305079665,1.511811911,-0.168328079
2011,2,-1.542644957,-0.106859027,-0.479770371
2011,3,0.90438067,0.500588043,-0.250830176
2011,4,0.668782642,0.59076358,-0.023715225
2011,5,-0.575306083,-0.208253625,-0.537826783
2011,6,-1.096900314,-1.054369856,-1.160081045
2011,7,-1.223449522,-1.087536546,-1.373123375
2011,8,-1.868423104,-1.865366133,-1.57771287
2011,9,0.320835844,-0.754226018,-1.440667462
2011,10,-1.280749272,-1.289130579,-1.797678407
2011,11,0.047572387,-0.337327258,-1.530095379
2011,12,0.137225702,-0.328221535,-1.61820149
2012,1,0.114667235,-0.18715024,-1.792038432
2012,2,-1.712880585,-1.742950997,-1.919748135
2012,3,0.452206924,1.268284986,-1.787959626
2012,4,-0.288178261,-0.358084181,-1.85227217
2012,5,-0.589878594,-1.006534747,-1.562239297
2012,6,-0.182749385,-0.028171675,-1.524402208
2012,7,0.031814504,-0.855918798,-0.93861362
2012,8,-0.998563964,-0.821381429,-1.209340124
2012,9,0.036388135,-0.587413123,-1.079471461
2012,10,-1.40498466,-0.790477314,-1.469339737
2012,11,-0.754892175,-1.198720938,-1.352837088
2012,12,-1.281829694,-2.315255141,-1.487268895
2013,1,-0.982258255,-1.792381209,-1.638406404
2013,2,-1.546541102,-1.961616928,-1.721247865
2013,3,-0.840466796,-1.363659233,-1.79019479
2013,4,-0.885581057,-1.514114942,-1.891947817
2013,5,0.10604214,0.012377674,-1.651504911
2013,6,-1.122982972,-0.575993779,-1.964273506
2013,7,-1.270636078,-2.000927442,-1.593063039
2013,8,0.476432495,-0.766093133,-1.253862221
2013,9,-0.676814222,-0.793311092,-1.457230608
2013,10,0.741137831,-0.011299013,-1.015547915
2013,11,-1.81431721,-0.141216241,-1.163491753
2013,12,1.422462011,0.793909685,-1.161495249
2014,1,-0.26662348,-0.673117124,-1.27401551
2014,2,-0.424536526,0.15207097,-1.279690586
2014,3,-0.602965427,-0.268831625,-1.415984262
2014,4,-1.432464407,-1.479512732,-1.66233563
2014,5,-1.601721579,-1.569879637,-2.209659903
2014,6,0.953219501,0.587402101,-0.564069776
2014,7,0.126107871,0.064641765,-0.588535653
2014,8,-0.287803596,-0.556902394,-0.670866615
2014,9,-0.322630865,-0.490453341,-0.672109215
2014,10,-1.109543095,-1.257127935,-0.985614101
2014,11,-0.338648363,-0.457849734,-0.98380052
2014,12,0.183566777,-0.489973485,-1.098127451
